ID	Label
2.0	35.0
2.0	35.0
2.0	35.0
2.0	35.0
3.0	40.0
3.0	40.0
3.0	40.0
3.0	40.0
4.0	1.0
4.0	1.0
4.0	1.0
4.0	1.0
5.0	27.0
5.0	27.0
5.0	27.0
5.0	27.0
6.0	9.0
6.0	9.0
6.0	9.0
6.0	9.0
7.0	9.0
7.0	9.0
7.0	9.0
7.0	9.0
8.0	38.0
8.0	38.0
8.0	38.0
8.0	38.0
9.0	27.0
9.0	27.0
9.0	27.0
9.0	27.0
10.0	19.0
10.0	19.0
10.0	19.0
10.0	19.0
11.0	1.0
11.0	1.0
11.0	1.0
11.0	1.0
12.0	13.0
12.0	13.0
12.0	13.0
12.0	13.0
13.0	36.0
13.0	36.0
13.0	36.0
13.0	36.0
14.0	27.0
14.0	27.0
14.0	27.0
14.0	27.0
15.0	22.0
15.0	22.0
15.0	22.0
15.0	22.0
16.0	33.0
16.0	33.0
16.0	33.0
16.0	33.0
17.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
18.0	17.0
18.0	17.0
18.0	17.0
18.0	17.0
19.0	4.0
19.0	4.0
19.0	4.0
19.0	4.0
20.0	28.0
20.0	28.0
20.0	28.0
20.0	28.0
21.0	35.0
21.0	35.0
21.0	35.0
21.0	35.0
22.0	40.0
22.0	40.0
22.0	40.0
22.0	40.0
23.0	8.0
23.0	8.0
23.0	8.0
23.0	8.0
24.0	14.0
24.0	14.0
24.0	14.0
24.0	14.0
25.0	11.0
25.0	11.0
25.0	11.0
25.0	11.0
26.0	32.0
26.0	32.0
26.0	32.0
26.0	32.0
27.0	28.0
27.0	28.0
27.0	28.0
27.0	28.0
28.0	25.0
28.0	25.0
28.0	25.0
28.0	25.0
29.0	28.0
29.0	28.0
29.0	28.0
29.0	28.0
30.0	2.0
30.0	2.0
30.0	2.0
30.0	2.0
31.0	27.0
31.0	27.0
31.0	27.0
31.0	27.0
32.0	11.0
32.0	11.0
32.0	11.0
32.0	11.0
33.0	13.0
33.0	13.0
33.0	13.0
33.0	13.0
34.0	32.0
34.0	32.0
34.0	32.0
34.0	32.0
35.0	9.0
35.0	9.0
35.0	9.0
35.0	9.0
36.0	21.0
36.0	21.0
36.0	21.0
36.0	21.0
37.0	39.0
37.0	39.0
37.0	39.0
37.0	39.0
38.0	20.0
38.0	20.0
38.0	20.0
38.0	20.0
39.0	40.0
