ID	Label
2.0	4.0
2.0	4.0
2.0	4.0
2.0	4.0
3.0	11.0
3.0	11.0
3.0	11.0
3.0	11.0
4.0	49.0
4.0	49.0
4.0	49.0
4.0	49.0
5.0	20.0
5.0	20.0
5.0	20.0
5.0	20.0
6.0	25.0
6.0	25.0
6.0	25.0
6.0	25.0
7.0	48.0
7.0	48.0
7.0	48.0
7.0	48.0
8.0	44.0
8.0	44.0
8.0	44.0
8.0	44.0
9.0	37.0
9.0	37.0
9.0	37.0
9.0	37.0
10.0	43.0
10.0	43.0
10.0	43.0
10.0	43.0
11.0	40.0
11.0	40.0
11.0	40.0
11.0	40.0
12.0	3.0
12.0	3.0
12.0	3.0
12.0	3.0
13.0	7.0
13.0	7.0
13.0	7.0
13.0	7.0
14.0	11.0
14.0	11.0
14.0	11.0
14.0	11.0
15.0	48.0
15.0	48.0
15.0	48.0
15.0	48.0
16.0	40.0
16.0	40.0
16.0	40.0
16.0	40.0
17.0	35.0
17.0	35.0
17.0	35.0
17.0	35.0
18.0	27.0
18.0	27.0
18.0	27.0
18.0	27.0
19.0	31.0
19.0	31.0
19.0	31.0
19.0	31.0
20.0	47.0
20.0	47.0
20.0	47.0
20.0	47.0
21.0	26.0
21.0	26.0
21.0	26.0
21.0	26.0
22.0	13.0
22.0	13.0
22.0	13.0
22.0	13.0
23.0	16.0
23.0	16.0
23.0	16.0
23.0	16.0
24.0	46.0
24.0	46.0
24.0	46.0
24.0	46.0
25.0	3.0
25.0	3.0
25.0	3.0
25.0	3.0
26.0	1.0
26.0	1.0
26.0	1.0
26.0	1.0
27.0	47.0
27.0	47.0
27.0	47.0
27.0	47.0
28.0	19.0
28.0	19.0
28.0	19.0
28.0	19.0
29.0	45.0
29.0	45.0
29.0	45.0
29.0	45.0
30.0	26.0
30.0	26.0
30.0	26.0
30.0	26.0
31.0	33.0
31.0	33.0
31.0	33.0
31.0	33.0
32.0	3.0
32.0	3.0
32.0	3.0
32.0	3.0
33.0	23.0
33.0	23.0
